Model Params: 63.91M
Trainable Params: 63.912M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 42289 examples [00:00, 278040.13 examples/s]Generating train split: 99700 examples [00:00, 289564.80 examples/s]Generating train split: 171558 examples [00:00, 368414.27 examples/s]Generating train split: 278508 examples [00:00, 447077.98 examples/s]Generating train split: 382948 examples [00:00, 482150.11 examples/s]Generating train split: 473280 examples [00:01, 475722.58 examples/s]Generating train split: 524438 examples [00:01, 302223.10 examples/s]Generating train split: 603987 examples [00:01, 330510.94 examples/s]Generating train split: 659312 examples [00:01, 316597.61 examples/s]Generating train split: 695507 examples [00:02, 282056.52 examples/s]Generating train split: 730936 examples [00:02, 255506.60 examples/s]Generating train split: 766321 examples [00:02, 235068.00 examples/s]Generating train split: 801742 examples [00:02, 224772.07 examples/s]Generating train split: 837240 examples [00:02, 213654.99 examples/s]Generating train split: 876133 examples [00:02, 212176.90 examples/s]Generating train split: 916114 examples [00:03, 208492.58 examples/s]Generating train split: 956944 examples [00:03, 208426.15 examples/s]Generating train split: 1002786 examples [00:03, 216781.87 examples/s]Generating train split: 1033685 examples [00:03, 215642.04 examples/s]Generating train split: 1056282 examples [00:04, 150235.96 examples/s]Generating train split: 1076476 examples [00:04, 99889.42 examples/s] Generating train split: 1093992 examples [00:04, 92296.99 examples/s]Generating train split: 1132794 examples [00:04, 117318.66 examples/s]Generating train split: 1177724 examples [00:05, 145448.12 examples/s]Generating train split: 1199864 examples [00:05, 137760.67 examples/s]Generating train split: 1232066 examples [00:05, 154241.32 examples/s]Generating train split: 1267327 examples [00:05, 163907.85 examples/s]Generating train split: 1270238 examples [00:05, 222670.59 examples/s]
Epoch:[1/2](3400/39695), loss: 3.2117, logits_loss: 3.2117, aux_loss: 0.0000, lr: 0.00049797, epoch_time: 94.0min
Epoch:[1/2](3500/39695), loss: 3.1238, logits_loss: 3.1238, aux_loss: 0.0000, lr: 0.00049785, epoch_time: 94.0min
Epoch:[1/2](3600/39695), loss: 3.0465, logits_loss: 3.0465, aux_loss: 0.0000, lr: 0.00049772, epoch_time: 94.0min
Epoch:[1/2](3700/39695), loss: 3.0682, logits_loss: 3.0682, aux_loss: 0.0000, lr: 0.00049759, epoch_time: 94.0min
Epoch:[1/2](3800/39695), loss: 2.8999, logits_loss: 2.8999, aux_loss: 0.0000, lr: 0.00049746, epoch_time: 93.0min
Epoch:[1/2](3900/39695), loss: 3.0460, logits_loss: 3.0460, aux_loss: 0.0000, lr: 0.00049733, epoch_time: 93.0min
Epoch:[1/2](4000/39695), loss: 2.7889, logits_loss: 2.7889, aux_loss: 0.0000, lr: 0.00049719, epoch_time: 93.0min
Epoch:[1/2](4100/39695), loss: 2.8403, logits_loss: 2.8403, aux_loss: 0.0000, lr: 0.00049705, epoch_time: 93.0min
Epoch:[1/2](4200/39695), loss: 2.7589, logits_loss: 2.7589, aux_loss: 0.0000, lr: 0.00049690, epoch_time: 92.0min
Epoch:[1/2](4300/39695), loss: 2.9821, logits_loss: 2.9821, aux_loss: 0.0000, lr: 0.00049675, epoch_time: 92.0min
Epoch:[1/2](4400/39695), loss: 2.8806, logits_loss: 2.8806, aux_loss: 0.0000, lr: 0.00049660, epoch_time: 92.0min
Epoch:[1/2](4500/39695), loss: 3.0080, logits_loss: 3.0080, aux_loss: 0.0000, lr: 0.00049644, epoch_time: 92.0min
Epoch:[1/2](4600/39695), loss: 3.0323, logits_loss: 3.0323, aux_loss: 0.0000, lr: 0.00049628, epoch_time: 91.0min
Epoch:[1/2](4700/39695), loss: 2.7693, logits_loss: 2.7693, aux_loss: 0.0000, lr: 0.00049612, epoch_time: 91.0min
Epoch:[1/2](4800/39695), loss: 2.9206, logits_loss: 2.9206, aux_loss: 0.0000, lr: 0.00049595, epoch_time: 91.0min
Epoch:[1/2](4900/39695), loss: 3.0021, logits_loss: 3.0021, aux_loss: 0.0000, lr: 0.00049578, epoch_time: 90.0min
Epoch:[1/2](5000/39695), loss: 2.7741, logits_loss: 2.7741, aux_loss: 0.0000, lr: 0.00049561, epoch_time: 90.0min
Epoch:[1/2](5100/39695), loss: 2.7733, logits_loss: 2.7733, aux_loss: 0.0000, lr: 0.00049543, epoch_time: 90.0min
Epoch:[1/2](5200/39695), loss: 2.6391, logits_loss: 2.6391, aux_loss: 0.0000, lr: 0.00049525, epoch_time: 90.0min
Epoch:[1/2](5300/39695), loss: 2.6482, logits_loss: 2.6482, aux_loss: 0.0000, lr: 0.00049507, epoch_time: 89.0min
Epoch:[1/2](5400/39695), loss: 2.6774, logits_loss: 2.6774, aux_loss: 0.0000, lr: 0.00049488, epoch_time: 89.0min
Epoch:[1/2](5500/39695), loss: 3.0444, logits_loss: 3.0444, aux_loss: 0.0000, lr: 0.00049469, epoch_time: 89.0min
Epoch:[1/2](5600/39695), loss: 2.7879, logits_loss: 2.7879, aux_loss: 0.0000, lr: 0.00049450, epoch_time: 89.0min
Epoch:[1/2](5700/39695), loss: 2.6609, logits_loss: 2.6609, aux_loss: 0.0000, lr: 0.00049430, epoch_time: 88.0min
Epoch:[1/2](5800/39695), loss: 2.6704, logits_loss: 2.6704, aux_loss: 0.0000, lr: 0.00049410, epoch_time: 88.0min
Epoch:[1/2](5900/39695), loss: 2.8118, logits_loss: 2.8118, aux_loss: 0.0000, lr: 0.00049390, epoch_time: 88.0min
Epoch:[1/2](6000/39695), loss: 2.7153, logits_loss: 2.7153, aux_loss: 0.0000, lr: 0.00049369, epoch_time: 88.0min
Epoch:[1/2](6100/39695), loss: 2.6118, logits_loss: 2.6118, aux_loss: 0.0000, lr: 0.00049348, epoch_time: 87.0min
Epoch:[1/2](6200/39695), loss: 2.7163, logits_loss: 2.7163, aux_loss: 0.0000, lr: 0.00049326, epoch_time: 87.0min
Epoch:[1/2](6300/39695), loss: 2.5727, logits_loss: 2.5727, aux_loss: 0.0000, lr: 0.00049304, epoch_time: 87.0min
Epoch:[1/2](6400/39695), loss: 2.5570, logits_loss: 2.5570, aux_loss: 0.0000, lr: 0.00049282, epoch_time: 87.0min
Epoch:[1/2](6500/39695), loss: 2.6084, logits_loss: 2.6084, aux_loss: 0.0000, lr: 0.00049260, epoch_time: 86.0min
Epoch:[1/2](6600/39695), loss: 2.6104, logits_loss: 2.6104, aux_loss: 0.0000, lr: 0.00049237, epoch_time: 86.0min
Epoch:[1/2](6700/39695), loss: 2.6398, logits_loss: 2.6398, aux_loss: 0.0000, lr: 0.00049214, epoch_time: 86.0min
Epoch:[1/2](6800/39695), loss: 2.5138, logits_loss: 2.5138, aux_loss: 0.0000, lr: 0.00049190, epoch_time: 85.0min
Epoch:[1/2](6900/39695), loss: 2.5443, logits_loss: 2.5443, aux_loss: 0.0000, lr: 0.00049166, epoch_time: 85.0min
Epoch:[1/2](7000/39695), loss: 2.7042, logits_loss: 2.7042, aux_loss: 0.0000, lr: 0.00049142, epoch_time: 85.0min
Epoch:[1/2](7100/39695), loss: 2.5626, logits_loss: 2.5626, aux_loss: 0.0000, lr: 0.00049118, epoch_time: 85.0min
Epoch:[1/2](7200/39695), loss: 2.5085, logits_loss: 2.5085, aux_loss: 0.0000, lr: 0.00049093, epoch_time: 84.0min
Epoch:[1/2](7300/39695), loss: 2.6127, logits_loss: 2.6127, aux_loss: 0.0000, lr: 0.00049068, epoch_time: 84.0min
Epoch:[1/2](7400/39695), loss: 2.5739, logits_loss: 2.5739, aux_loss: 0.0000, lr: 0.00049042, epoch_time: 84.0min
Epoch:[1/2](7500/39695), loss: 2.6952, logits_loss: 2.6952, aux_loss: 0.0000, lr: 0.00049016, epoch_time: 84.0min
Epoch:[1/2](7600/39695), loss: 2.7036, logits_loss: 2.7036, aux_loss: 0.0000, lr: 0.00048990, epoch_time: 83.0min
Epoch:[1/2](7700/39695), loss: 2.5769, logits_loss: 2.5769, aux_loss: 0.0000, lr: 0.00048964, epoch_time: 83.0min
Epoch:[1/2](7800/39695), loss: 2.6997, logits_loss: 2.6997, aux_loss: 0.0000, lr: 0.00048937, epoch_time: 83.0min
Epoch:[1/2](7900/39695), loss: 2.7249, logits_loss: 2.7249, aux_loss: 0.0000, lr: 0.00048909, epoch_time: 83.0min
Epoch:[1/2](8000/39695), loss: 2.6341, logits_loss: 2.6341, aux_loss: 0.0000, lr: 0.00048882, epoch_time: 82.0min
Epoch:[1/2](8100/39695), loss: 2.5551, logits_loss: 2.5551, aux_loss: 0.0000, lr: 0.00048854, epoch_time: 82.0min
Epoch:[1/2](8200/39695), loss: 2.7234, logits_loss: 2.7234, aux_loss: 0.0000, lr: 0.00048826, epoch_time: 82.0min
Epoch:[1/2](8300/39695), loss: 2.4492, logits_loss: 2.4492, aux_loss: 0.0000, lr: 0.00048797, epoch_time: 82.0min
Epoch:[1/2](8400/39695), loss: 2.6791, logits_loss: 2.6791, aux_loss: 0.0000, lr: 0.00048768, epoch_time: 81.0min
Epoch:[1/2](8500/39695), loss: 2.7447, logits_loss: 2.7447, aux_loss: 0.0000, lr: 0.00048739, epoch_time: 81.0min
Epoch:[1/2](8600/39695), loss: 2.4609, logits_loss: 2.4609, aux_loss: 0.0000, lr: 0.00048710, epoch_time: 81.0min
Epoch:[1/2](8700/39695), loss: 2.8900, logits_loss: 2.8900, aux_loss: 0.0000, lr: 0.00048680, epoch_time: 81.0min
Epoch:[1/2](8800/39695), loss: 2.6760, logits_loss: 2.6760, aux_loss: 0.0000, lr: 0.00048650, epoch_time: 80.0min
Epoch:[1/2](8900/39695), loss: 2.4086, logits_loss: 2.4086, aux_loss: 0.0000, lr: 0.00048619, epoch_time: 80.0min
Epoch:[1/2](9000/39695), loss: 2.5980, logits_loss: 2.5980, aux_loss: 0.0000, lr: 0.00048588, epoch_time: 80.0min
Epoch:[1/2](9100/39695), loss: 2.5224, logits_loss: 2.5224, aux_loss: 0.0000, lr: 0.00048557, epoch_time: 80.0min
Epoch:[1/2](9200/39695), loss: 2.8230, logits_loss: 2.8230, aux_loss: 0.0000, lr: 0.00048525, epoch_time: 79.0min
Epoch:[1/2](9300/39695), loss: 2.5091, logits_loss: 2.5091, aux_loss: 0.0000, lr: 0.00048493, epoch_time: 79.0min
Epoch:[1/2](9400/39695), loss: 2.5734, logits_loss: 2.5734, aux_loss: 0.0000, lr: 0.00048461, epoch_time: 79.0min
Epoch:[1/2](9500/39695), loss: 2.4233, logits_loss: 2.4233, aux_loss: 0.0000, lr: 0.00048429, epoch_time: 78.0min
